Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
27.528377532958984	57	-17.650005	4.543354	-9.4	-26.400005	23.0	0.0	1012	58696
27.937283754348755	58	-16.604551	5.1016045	-7.399999	-25.400005	23.0	0.0	1012	59708
28.348184823989868	59	-15.786368	4.6525474	-7.399999	-26.400005	23.0	0.0	1012	60720
28.77105402946472	60	-17.172731	4.3789997	-7.399999	-24.400005	23.0	0.0	1012	61732
29.180957794189453	61	-16.78637	3.844809	-9.4	-26.400005	23.0	0.0	1012	62744
29.596845388412476	62	-17.354551	4.9126697	-6.399999	-25.400005	23.0	0.0	1012	63756
30.01472783088684	63	-16.422731	4.4593573	-8.4	-24.400005	23.0	0.0	1012	64768
30.431613206863403	64	-16.490913	4.3370423	-8.4	-26.400005	23.0	0.0	1012	65780
30.857473850250244	65	-17.03637	4.661698	-8.4	-25.400005	23.0	0.0	1012	66792
31.27535653114319	66	-16.672731	4.1085496	-8.4	-26.400005	23.0	0.0	1012	67804
31.6962308883667	67	-16.127277	4.9145617	-6.399999	-25.400005	23.0	0.0	1012	68816
32.120097398757935	68	-17.650005	4.9914722	-7.399999	-25.400005	23.0	0.0	1012	69828
32.534987926483154	69	-15.945459	3.9626372	-7.399999	-22.400005	23.0	0.0	1012	70840
32.95087552070618	70	-16.809095	4.549319	-8.4	-25.400005	23.0	0.0	1012	71852
33.39768075942993	71	-16.445457	5.013414	-7.399999	-26.400005	23.0	0.0	1012	72864
33.837504148483276	72	-17.081823	4.3420415	-7.399999	-24.400005	23.0	0.0	1012	73876
34.292288064956665	73	-16.240913	4.6609774	-7.399999	-26.400005	23.0	0.0	1012	74888
34.742085218429565	74	-16.377277	4.5100346	-7.399999	-26.400005	23.0	0.0	1012	75900
35.17492747306824	75	-16.968187	4.458894	-7.399999	-26.400005	23.0	0.0	1012	76912
35.58383393287659	76	-16.718185	4.160273	-8.4	-26.400005	23.0	0.0	1012	77924
36.0047082901001	77	-16.69546	4.605234	-7.399999	-24.400005	23.0	0.0	1012	78936
36.417603969573975	78	-17.013641	4.8204885	-8.4	-26.400005	23.0	0.0	1012	79948
36.832494497299194	79	-17.809095	5.0511866	-7.399999	-25.400005	23.0	0.0	1012	80960
37.248382329940796	80	-16.150005	5.05931	-6.399999	-24.400005	23.0	0.0	1012	81972
37.662275314331055	81	-15.968186	4.619121	-6.399999	-25.400005	23.0	0.0	1012	82984
38.08115482330322	82	-17.03637	4.739061	-7.399999	-24.400005	23.0	0.0	1012	83996
38.49006152153015	83	-17.422731	4.3405538	-7.399999	-26.400005	23.0	0.0	1012	85008
38.90495181083679	84	-17.53637	4.8970838	-9.4	-26.400005	23.0	0.0	1012	86020
39.31884503364563	85	-16.286367	4.7635756	-6.399999	-26.400005	23.0	0.0	1012	87032
39.729745864868164	86	-16.650005	4.140298	-8.4	-25.400005	23.0	0.0	1012	88044
40.13865256309509	87	-17.468187	5.038029	-7.399999	-26.400005	23.0	0.0	1012	89056
40.548556089401245	88	-17.309095	4.674975	-8.4	-26.400005	23.0	0.0	1012	90068
40.96145176887512	89	-15.990914	5.0915203	-6.399999	-25.400005	23.0	0.0	1012	91080
41.37335014343262	90	-17.081821	5.8689218	-6.399999	-26.400005	23.0	0.0	1012	92092
41.781259536743164	91	-17.377277	4.7696443	-6.399999	-25.400005	23.0	0.0	1012	93104
42.19415521621704	92	-15.877277	4.4999447	-7.399999	-23.400005	23.0	0.0	1012	94116
42.606053590774536	93	-17.309095	4.5717444	-7.399999	-26.400005	23.0	0.0	1012	95128
43.01795196533203	94	-16.604551	4.449617	-8.4	-25.400005	23.0	0.0	1012	96140
43.42685842514038	95	-17.69546	4.798579	-8.4	-26.400005	23.0	0.0	1012	97152
43.838757038116455	96	-16.490913	5.2519207	-7.399999	-26.400005	23.0	0.0	1012	98164
44.25165247917175	97	-17.331823	5.175986	-7.399999	-26.400005	23.0	0.0	1012	99176
44.66355085372925	98	-17.19546	4.6200156	-8.4	-26.400005	23.0	0.0	1012	100188
45.077444076538086	99	-16.922731	4.95658	-8.4	-26.400005	23.0	0.0	1012	101200
