dataid,localhour,air1,	air2,	air3,	airwindowunit1,	aquarium1,	bathroom1,	bathroom2,	bedroom1,	bedroom2,	bedroom3,	bedroom4,	bedroom5,	car1,	clotheswasher1,	clotheswasher_dryg1,	diningroom1,	diningroom2,	dishwasher1,	disposal1,	drye1,	dryg1,	freezer1,	furnace1,	furnace2,	garage1,	garage2,	gen,	grid,	heater1,	housefan1,	icemaker1,	jacuzzi1,	kitchen1,	kitchen2,	kitchenapp1,	kitchenapp2,	lights_plugs1,	lights_plugs2,	lights_plugs3,	lights_plugs4,	lights_plugs5,	lights_plugs6,	livingroom1,	livingroom2,	microwave1,	office1,	outsidelights_plugs1,	outsidelights_plugs2,	oven1,	oven2,	pool1,	pool2,	poollight1,	poolpump1,	pump1,	range1,	refrigerator1,	refrigerator2,	security1,	shed1,	sprinkler1,	use,	utilityroom1,	venthood1,	waterheater1,	waterheater2,	winecooler1,water_meter_value,  gas_meter_value
2014-09-02 05:00:00-05,22,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.01200000000000000000,0,0,0,0,0.11938333333333333333,0,0,0,0,0.00500000000000000000,0,0,0,0,0,0,0,0,0,0.02403333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.07240000000000000000,0,0,0,0,0.11938333333333333333,0,0,0,0,0,0,0
2014-09-02 05:00:00-05,48,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.00965000000000000000,0,0,0,0,0.27961666666666666667,0,0,0,0,0,0,0,0,0.06358333333333333333,0.00000000000000000000,0,0,0,0,0.07528333333333333333,0,0.08321666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.05026666666666666667,0,0,0,0,0.27961666666666666667,0,0,0,0,0,0,0
2014-09-02 06:00:00-05,22,0.16588333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.02481666666666666667,0,0,0,0,0.31948333333333333333,0,0,0,0,0.00451666666666666667,0,0,0,0,0,0,0,0,0,0.02411666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0.31948333333333333333,0,0,0,0,0,0,0
2014-09-02 06:00:00-05,48,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.00956666666666666667,0,0,0,0,0.24291666666666666667,0,0,0,0,0,0,0,0,0.06606666666666666667,0.00000000000000000000,0,0,0,0,0.07086666666666666667,0,0.08205000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.01645000000000000000,0,0,0,0,0.24291666666666666667,0,0,0,0,0,0,0
2014-09-02 07:00:00-05,22,0.000083333333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.01173333333333333333,0,0,0,0,0.25013333333333333333,0,0,0,0,0.01803333333333333333,0,0,0,0,0,0,0,0,0,0.04230000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.09713333333333333333,0,0,0,0,0.25013333333333333333,0,0,0,0,0,0,0
2014-09-02 07:00:00-05,48,0.13236666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.02003333333333333333,0,0,0,0,0.40610000000000000000,0,0,0,0,0,0,0,0,0.06210000000000000000,0.00000000000000000000,0,0,0,0,0.06530000000000000000,0,0.08271666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.04655000000000000000,0,0,0,0,0.40610000000000000000,0,0,0,0,0,0,0
2014-09-02 08:00:00-05,22,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.01171666666666666667,0,0,0,0,0.16231666666666666667,0,0,0,0,0.00498333333333333333,0,0,0,0,0,0,0,0,0,0.02400000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.11693333333333333333,0,0,0,0,0.16231666666666666667,0,0,0,0,0,0,0
2014-09-02 08:00:00-05,48,0.13886666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.02025000000000000000,0,0,0,0,0.59746666666666666667,0,0,0,0,0,0,0,0,0.07440000000000000000,0.00000000000000000000,0,0,0,0,0.06921666666666666667,0,0.08266666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.03043333333333333333,0,0,0,0,0.59746666666666666667,0,0,0,0,0,0,0
2014-09-02 09:00:00-05,22,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.01153333333333333333,0,0,0,0,0.07641666666666666667,0,0,0,0,0.00493333333333333333,0,0,0,0,0,0,0,0,0,0.02400000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.02985000000000000000,0,0,0,0,0.07641666666666666667,0,0,0,0,0,0,0
2014-09-02 09:00:00-05,48,0.24385000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.02525000000000000000,0,0,0,0,0.81706666666666666667,0,0,0,0,0,0,0,0,0.06376666666666666667,0.00000000000000000000,0,0,0,0,0.19083333333333333333,0,0.19420000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.10258333333333333333,0,0,0,0,0.81706666666666666667,0,0,0,0,0,0,0
